number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_length_penalty,params_num_beams,params_num_epochs,params_scheduler_type,params_warmup_ratio,params_weight_decay,state
0,0.4250567425786824,2025-10-14 15:46:18.678031,2025-10-14 16:00:34.856631,0 days 00:14:16.178600,5.611516415334504e-06,1.7486639612006325,8,10,polynomial,0.146398788362281,0.05986584841970366,COMPLETE
1,0.4017109283862281,2025-10-14 16:00:34.857797,2025-10-14 16:07:05.077756,0 days 00:06:30.219959,2.6587543983272713e-06,1.6777639420895203,8,4,polynomial,0.03668090197068676,0.030424224295953775,COMPLETE
2,0.43085166901315824,2025-10-14 16:07:05.078954,2025-10-14 16:16:40.682502,0 days 00:09:35.603548,2.5081156860452325e-06,1.5263495397682354,2,7,polynomial,0.1184829137724085,0.0046450412719997725,COMPLETE
3,0.4126109112793007,2025-10-14 16:16:40.683821,2025-10-14 16:21:51.267430,0 days 00:05:10.583609,7.5911048052827045e-06,1.6626992350416718,8,3,linear,0.09903538202225404,0.0034388521115218396,COMPLETE
4,0.45980874592447585,2025-10-14 16:21:51.268894,2025-10-14 16:33:24.230192,0 days 00:11:32.961298,7.568292060167621e-05,0.9214017645310711,6,10,polynomial,0.11957999576221703,0.09218742350231168,COMPLETE
5,0.4414966205082917,2025-10-14 16:33:24.231645,2025-10-14 16:39:17.761165,0 days 00:05:53.529520,1.2172847081122448e-05,0.6110669776011355,2,4,linear,0.16043939615080793,0.007455064367977083,COMPLETE
6,0.40558654870144323,2025-10-14 16:39:17.762839,2025-10-14 16:44:19.130147,0 days 00:05:01.367308,5.211124595788262e-06,0.6793913689074526,6,3,linear,0.17262068517511872,0.062329812682755795,PRUNED
7,0.44974985524613387,2025-10-14 16:44:19.131728,2025-10-14 16:55:48.094979,0 days 00:11:28.963251,2.66986667427446e-05,1.262856036747054,6,9,cosine,0.11225543951389926,0.0770967179954561,COMPLETE
8,0.44961404519623127,2025-10-14 16:55:48.096714,2025-10-14 17:01:36.119020,0 days 00:05:48.022306,6.533305220227742e-05,1.7055081153486717,2,4,cosine_with_restarts,0.08207658460712595,0.07555511385430487,COMPLETE
9,0.4204988156287578,2025-10-14 17:01:36.120574,2025-10-14 17:15:50.868053,0 days 00:14:14.747479,2.3612399244412613e-06,1.2661209538663485,6,10,linear,0.10786844838313014,0.08074401551640625,PRUNED
10,0.4578679089974126,2025-10-14 17:15:50.869600,2025-10-14 17:25:45.154475,0 days 00:09:54.284875,9.098166997876735e-05,0.8868904289022379,4,7,cosine,0.001509463863258606,0.09550722292778,COMPLETE
11,0.45698482841623617,2025-10-14 17:25:45.156393,2025-10-14 17:35:35.660104,0 days 00:09:50.503711,9.138518360133624e-05,0.9383576982529792,4,7,cosine,0.0013572013949127268,0.09953784597545408,COMPLETE
12,0.45291871360518954,2025-10-14 17:35:35.661809,2025-10-14 17:46:47.291243,0 days 00:11:11.629434,4.0171644628004966e-05,0.9377994135645444,4,8,cosine,0.0645170114468336,0.09988633091284026,COMPLETE
